<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
AUDUSD,20090101,0.7026,0.7090,0.7003,0.7055
AUDUSD,20090102,0.7053,0.7104,0.6917,0.7090
AUDUSD,20090104,0.7115,0.7151,0.7110,0.7145
AUDUSD,20090105,0.7141,0.7200,0.7061,0.7137
AUDUSD,20090106,0.7134,0.7264,0.7031,0.7199
AUDUSD,20090107,0.7202,0.7265,0.7092,0.7130
AUDUSD,20090108,0.7127,0.7130,0.6956,0.7108
AUDUSD,20090109,0.7103,0.7119,0.7014,0.7023
AUDUSD,20090111,0.6992,0.7001,0.6978,0.6999
AUDUSD,20090112,0.6989,0.6994,0.6777,0.6805
AUDUSD,20090113,0.6804,0.6818,0.6574,0.6665
AUDUSD,20090114,0.6663,0.6808,0.6579,0.6595
AUDUSD,20090115,0.6596,0.6696,0.6536,0.6684
AUDUSD,20090116,0.6680,0.6793,0.6645,0.6726
AUDUSD,20090118,0.6761,0.6781,0.6761,0.6779
AUDUSD,20090119,0.6780,0.6839,0.6653,0.6661
AUDUSD,20090120,0.6660,0.6681,0.6460,0.6461
AUDUSD,20090121,0.6462,0.6655,0.6454,0.6628
AUDUSD,20090122,0.6631,0.6634,0.6490,0.6561
AUDUSD,20090123,0.6546,0.6585,0.6417,0.6562
AUDUSD,20090125,0.6549,0.6560,0.6522,0.6534
AUDUSD,20090126,0.6530,0.6640,0.6493,0.6616
AUDUSD,20090127,0.6621,0.6716,0.6571,0.6632
AUDUSD,20090128,0.6630,0.6729,0.6593,0.6657
AUDUSD,20090129,0.6660,0.6678,0.6508,0.6513
AUDUSD,20090130,0.6514,0.6514,0.6344,0.6352
AUDUSD,20090201,0.6362,0.6371,0.6355,0.6355
AUDUSD,20090202,0.6356,0.6368,0.6247,0.6298
AUDUSD,20090203,0.6299,0.6543,0.6296,0.6502
AUDUSD,20090204,0.6503,0.6529,0.6353,0.6407
AUDUSD,20090205,0.6405,0.6578,0.6401,0.6508
AUDUSD,20090206,0.6515,0.6800,0.6475,0.6764
AUDUSD,20090208,0.6737,0.6737,0.6713,0.6719
AUDUSD,20090209,0.6721,0.6847,0.6627,0.6782
AUDUSD,20090210,0.6784,0.6787,0.6483,0.6548
AUDUSD,20090211,0.6554,0.6598,0.6480,0.6541
AUDUSD,20090212,0.6547,0.6613,0.6431,0.6557
AUDUSD,20090213,0.6558,0.6639,0.6521,0.6577
AUDUSD,20090215,0.6511,0.6526,0.6510,0.6515
AUDUSD,20090216,0.6518,0.6537,0.6473,0.6495
AUDUSD,20090217,0.6500,0.6529,0.6331,0.6363
AUDUSD,20090218,0.6365,0.6429,0.6337,0.6382
AUDUSD,20090219,0.6385,0.6520,0.6370,0.6456
AUDUSD,20090220,0.6456,0.6496,0.6353,0.6460
AUDUSD,20090222,0.6446,0.6454,0.6442,0.6444
AUDUSD,20090223,0.6451,0.6545,0.6401,0.6417
AUDUSD,20090224,0.6417,0.6527,0.6388,0.6525
AUDUSD,20090225,0.6528,0.6552,0.6453,0.6468
AUDUSD,20090226,0.6468,0.6550,0.6459,0.6468
AUDUSD,20090227,0.6472,0.6479,0.6338,0.6392
AUDUSD,20090301,0.6393,0.6398,0.6365,0.6366
AUDUSD,20090302,0.6369,0.6382,0.6285,0.6291
AUDUSD,20090303,0.6292,0.6461,0.6286,0.6372
AUDUSD,20090304,0.6370,0.6524,0.6285,0.6473
AUDUSD,20090305,0.6479,0.6483,0.6354,0.6379
AUDUSD,20090306,0.6376,0.6469,0.6367,0.6402
AUDUSD,20090308,0.6408,0.6421,0.6406,0.6414
AUDUSD,20090309,0.6411,0.6448,0.6304,0.6322
AUDUSD,20090310,0.6324,0.6486,0.6324,0.6469
AUDUSD,20090311,0.6473,0.6523,0.6399,0.6497
AUDUSD,20090312,0.6497,0.6575,0.6411,0.6520
AUDUSD,20090313,0.6518,0.6601,0.6515,0.6579
AUDUSD,20090315,0.6552,0.6552,0.6528,0.6532
AUDUSD,20090316,0.6535,0.6635,0.6535,0.6586
AUDUSD,20090317,0.6592,0.6626,0.6566,0.6624
AUDUSD,20090318,0.6625,0.6814,0.6564,0.6785
AUDUSD,20090319,0.6786,0.6941,0.6722,0.6876
AUDUSD,20090320,0.6874,0.6929,0.6848,0.6867
AUDUSD,20090322,0.6903,0.6931,0.6901,0.6931
AUDUSD,20090323,0.6930,0.7058,0.6903,0.7023
AUDUSD,20090324,0.7028,0.7091,0.6932,0.6989
AUDUSD,20090325,0.6986,0.7048,0.6902,0.6974
AUDUSD,20090326,0.6977,0.7038,0.6976,0.7020
AUDUSD,20090327,0.7020,0.7029,0.6864,0.6939
AUDUSD,20090329,0.6891,0.6903,0.6873,0.6900
AUDUSD,20090330,0.6900,0.6923,0.6769,0.6813
AUDUSD,20090331,0.6812,0.6967,0.6787,0.6908
AUDUSD,20090401,0.6906,0.6994,0.6855,0.6980
AUDUSD,20090402,0.6977,0.7196,0.6974,0.7154
AUDUSD,20090403,0.7155,0.7227,0.7056,0.7153
AUDUSD,20090405,0.7154,0.7163,0.7150,0.7154
AUDUSD,20090406,0.7157,0.7207,0.7077,0.7124
AUDUSD,20090407,0.7123,0.7167,0.7046,0.7103
AUDUSD,20090408,0.7108,0.7126,0.7031,0.7094
AUDUSD,20090409,0.7094,0.7201,0.7053,0.7190
AUDUSD,20090410,0.7186,0.7204,0.7172,0.7193
AUDUSD,20090412,0.7272,0.7276,0.7207,0.7226
AUDUSD,20090413,0.7217,0.7322,0.7185,0.7316
AUDUSD,20090414,0.7317,0.7319,0.7199,0.7211
AUDUSD,20090415,0.7211,0.7293,0.7146,0.7275
AUDUSD,20090416,0.7270,0.7313,0.7137,0.7198
AUDUSD,20090417,0.7196,0.7226,0.7166,0.7207
AUDUSD,20090419,0.7245,0.7245,0.7229,0.7230
AUDUSD,20090420,0.7229,0.7237,0.6952,0.6984
AUDUSD,20090421,0.6985,0.7127,0.6968,0.7096
AUDUSD,20090422,0.7096,0.7115,0.7001,0.7055
AUDUSD,20090423,0.7056,0.7153,0.7028,0.7134
AUDUSD,20090424,0.7135,0.7237,0.7105,0.7223
AUDUSD,20090426,0.7218,0.7218,0.7199,0.7211
AUDUSD,20090427,0.7209,0.7209,0.7080,0.7086
AUDUSD,20090428,0.7085,0.7099,0.6988,0.7054
AUDUSD,20090429,0.7054,0.7298,0.7049,0.7234
AUDUSD,20090430,0.7236,0.7381,0.7231,0.7250
AUDUSD,20090501,0.7250,0.7344,0.7240,0.7300
AUDUSD,20090503,0.7316,0.7347,0.7316,0.7327
AUDUSD,20090504,0.7324,0.7408,0.7312,0.7398
AUDUSD,20090505,0.7408,0.7476,0.7376,0.7405
AUDUSD,20090506,0.7406,0.7500,0.7335,0.7466
AUDUSD,20090507,0.7465,0.7613,0.7458,0.7562
AUDUSD,20090508,0.7560,0.7706,0.7506,0.7679
AUDUSD,20090510,0.7689,0.7710,0.7682,0.7708
AUDUSD,20090511,0.7708,0.7708,0.7567,0.7578
AUDUSD,20090512,0.7576,0.7678,0.7560,0.7645
AUDUSD,20090513,0.7644,0.7701,0.7507,0.7525
AUDUSD,20090514,0.7524,0.7616,0.7464,0.7588
